term_id	exclusion_reason
NCIT:C100310	MONDO:excludeNonDisease
NCIT:C100311	MONDO:excludeNonDisease
NCIT:C100312	MONDO:excludeNonDisease
NCIT:C100313	MONDO:excludeNonDisease
NCIT:C100314	MONDO:excludeNonDisease
NCIT:C100315	MONDO:excludeNonDisease
NCIT:C100316	MONDO:excludeNonDisease
NCIT:C100317	MONDO:excludeNonDisease
NCIT:C100318	MONDO:excludeNonDisease
NCIT:C100319	MONDO:excludeNonDisease
NCIT:C10032	MONDO:excludeNonDisease
NCIT:C100320	MONDO:excludeNonDisease
NCIT:C100321	MONDO:excludeNonDisease
NCIT:C100322	MONDO:excludeNonDisease
NCIT:C100323	MONDO:excludeNonDisease
NCIT:C100324	MONDO:excludeNonDisease
NCIT:C100325	MONDO:excludeNonDisease
NCIT:C100326	MONDO:excludeNonDisease
NCIT:C100327	MONDO:excludeNonDisease
NCIT:C100328	MONDO:excludeNonDisease
NCIT:C100329	MONDO:excludeNonDisease
NCIT:C10033	MONDO:excludeNonDisease
NCIT:C100330	MONDO:excludeNonDisease
NCIT:C100331	MONDO:excludeNonDisease
NCIT:C100332	MONDO:excludeNonDisease
NCIT:C100333	MONDO:excludeNonDisease
NCIT:C100334	MONDO:excludeNonDisease
NCIT:C100335	MONDO:excludeNonDisease
NCIT:C100336	MONDO:excludeNonDisease
NCIT:C100337	MONDO:excludeNonDisease
NCIT:C100338	MONDO:excludeNonDisease
NCIT:C100339	MONDO:excludeNonDisease
NCIT:C10034	MONDO:excludeNonDisease
NCIT:C100340	MONDO:excludeNonDisease
NCIT:C100341	MONDO:excludeNonDisease
NCIT:C100342	MONDO:excludeNonDisease
NCIT:C100343	MONDO:excludeNonDisease
NCIT:C100344	MONDO:excludeNonDisease
NCIT:C100345	MONDO:excludeNonDisease
NCIT:C100346	MONDO:excludeNonDisease
NCIT:C100347	MONDO:excludeNonDisease
NCIT:C100348	MONDO:excludeNonDisease
NCIT:C100349	MONDO:excludeNonDisease
NCIT:C10035	MONDO:excludeNonDisease
NCIT:C100350	MONDO:excludeNonDisease
NCIT:C100351	MONDO:excludeNonDisease
NCIT:C100352	MONDO:excludeNonDisease
NCIT:C100353	MONDO:excludeNonDisease
NCIT:C100354	MONDO:excludeNonDisease
NCIT:C100355	MONDO:excludeNonDisease
NCIT:C100356	MONDO:excludeNonDisease
NCIT:C100357	MONDO:excludeNonDisease
NCIT:C100358	MONDO:excludeNonDisease
NCIT:C100359	MONDO:excludeNonDisease
NCIT:C10036	MONDO:excludeNonDisease
NCIT:C100360	MONDO:excludeNonDisease
NCIT:C100361	MONDO:excludeNonDisease
NCIT:C100362	MONDO:excludeNonDisease
